type,line,original,modern,english,id,title,description
line,716,thy worthya ny yv senses,"Dh'y wordhya ni yw synsys,","716 To honour him we are bound,",,,
line,717,hag a vyn awos peryl,"hag a vynn, awos peryll.","And will, notwithstanding peril.",,,
stage,,[finit,,,,,
speaker,,MERIADOCUS 718,Meriadocus,MERIASEK.,,,
line,718,Grassegh the crist a tus vas,"Grassewgh dhe Krist, a dus vas,","Give thanks to Christ, O good folk,",,,
line,719,adar trav#t# dymmo vy,a-der travydh dhymmo vy.,Say nothing to me.,,,
line,720,omma lemen fondya plays,Omma lemmyn fondya plas,"720 Here now found a place,",,,
line,721,dre voth ihesu a vercy,"dre vodh Yesu a versi,","Through the will of Christ of mercy,",,,
line,722,sur me a vyn,sur my a vynn.,Surely I will,,,
line,723,awose helme eglos,"A-wosa hemma eglos,","After this, a church,",,,
line,724,the worthya crist deth ha nos,"dhe wordhya Krist dydh ha nos,","724 For worshipping Christ day and night,",,,
line,725,y feth omma thum porpos,"y fydh omma dhe'm porpos,","Shall be here, to my purpose,",,,
line,726,ryb chapel maria wyn,ryb chapel Maria Wynn.,By holy Mary's chapel.,,,
blank,,,,,,,
speaker,,MORB[OS]US 727,Mor[bo]sus,A SICK MAN.,,,
line,727,Ellas ellas pendrama,"Ellas, ellas, pandr' wrama?","Alas, alas, what thing is this [shall I do] ?",,,
line,728,in ov fays cothys yma,Yn ow fas koedhys yma,728 On my face is fallen,,,
line,729,cleves vthyk num car den,"kleves euthek, ny'm kar den.","A frightful disease, no one loves me.",,,
line,730,in ca[m]bron me re gloways,Yn Kammbronn my re glywas,In Camborne I have heard,,,
line,731,yma prest vn methek brays,yma prest unn medhek bras,There is now a great leech,,,
line,732,ov sawya tus in certen,ow sawya tus yn sertan.,732 Healing folk certainly.,,,
line,733,me a vyn moys the verays,My a vynn mos dhe viras,I will go to see,,,
line,734,gul gueres dymo mar men,gul gweres dhymmo mar mynn.,If he will cure me.,,,
stage,,[ad meriadocum 735,,[To Meriasek. ],,,
line,735,Lowene dis meryasek,"Lowena dhis, Meryasek,","Joy to thee, Meriasek,",,,
line,736,thymo vy den bohosek,"dhymmo vy, den boghosek,","736 To me, a poor man,",,,
line,737,awoys crist lemen gueres,awos Krist lemmyn gweres!,For Christ's sake now help.,,,
line,738,in ov fays cleves yma,"Yn ow fas kleves yma,","In my face is a disease,",,,
line,739,mana car tus an beysma,"ma na gar tus an bys ma,","So that the folk of this world love not,",,,
line,740,neb lues sur ov gueles,neb lies sur ow gweles.,"740 Not many surely, to see me.",,,
blank,,,,,,,
speaker,,MERIADOCUS,Meriadocus <genuflectit,MERIASEK [kneels. ],,,
stage,,[genuflectit,,,,,
line,741,Arluth neff reth weresa,Arloedh nev re'th weresso!,May Heaven's Lord help thee !,,,
line,742,naamam kyns es helma,Naamam kyns es hemma,Naaman before this,,,
line,743,a sawyas an cleves mur,a sawyas a'n kleves meur.,He healed of the great disease.,,,
line,744,gans dour y raff the golhy,Gans dowr y hwrav dha wolghi:,744 With water I do wash thee :,,,
line,745,ihesu crist du a vercy,"Yesu Krist, Dyw a versi,","Jesu Christ, God of mercy,",,,
line,746,theth gueres mar tuth an nur,dhe'th weres mar teuth an eur.,To help thee if he has come on the earth. [if the hour has come],,,
blank,,,,,,,
speaker,,DOMESTICUS 747,Domesticus,THE HOUSEHOLD SLAVE.,,,
line,747,Ty then gylleth boys lowen,"Ty, dhen, gyllydh bos lowen.","Thou, O man, mayst be joyful.",,,
line,748,sawys tek oys in certen,"Sawys teg os yn sertan,","748 Well healed art thou certainly,",,,
line,749,grasse the meryasek wek,gras e dhe Meryasek hweg.,Thank sweet Meriasek.,,,
line,750,rag eff yv lenwys a grays,"Rag ev yw lenwys a ras,","For he is filled with grace,",,,
line,751,ha kerys gans du a rays,"ha kerys gans Dyw a ras,","And loved by God of worth,",,,
line,752,del welyn letrys ha lek,"dell welyn, lettrys ha leg.","752 As we see, lettered and lay.",,,
stage,,[finit,,,,,
speaker,,MORB[OS]US 753,Mor[bo]sus,THE SICK MAN.,,,
line,753,Meryasek dywhy mur grays,"Meryasek, dhy'hwi meur gras!","Meriasek, to you much thanks !",,,
line,754,me a beys crist luen a rays,My a bys Krist leun a ras,I beseech Christ full of grace,,,
line,755,in neff thywhy ren tala,"y'n nev dhy'hwi re'n tallo,","In heaven to you may he pay it,",,,
line,756,han wyrhes maria splan,ha'n Wyrghes Maria splann.,756 And the Virgin Mary bright.,,,
line,757,du assus lues den gvan,"Dyw, ass eus lies den gwann","Pardie, there are many weak men [how many weak men there are]",,,
line,758,sawys genogh in bysma,sawys genowgh y'n bys ma.,Healed by you in this world. [Let him go off. ],,,
stage,,[tranceat,,,,,
stage,,[hic meriadocus expectat apuambron,,[Here Meriasek waits at Camborne. ],,,
stage,,hic tevdarus pompabit,,[Here Teudar shall parade. ],,,
speaker,,[TEVDARUS] 759,,TEUDAR,,,
line,759,Tevdar me a veth gelwys,"Tewdar my a vydh gelwys,","Teudar I am called,",,,
line,760,arluth regnijs in kernov,arloedh regnyes yn Kernow.,760 Lord reigning in Cornwall.,,,
line,761,may fo mahum enorys,May fo Mahum enorys,That Mahound be honoured,,,
line,762,ov charg yv heb feladov,"ow charj yw heb falladow,","Is my charge without fail,",,,
line,763,oges ha pel,ogas ha pell.,Near and far.,,,
line,764,penag a worthya ken du,Pynag a wortthyo ken dyw,"764 Whosoever worship another god,",,,
line,765,y astev#t# peynys glu,"i a's tevydh paynys glew,","They shall have keen pains,",,,
line,766,hag inweth mernans cruel,hag ynwedh mernans kruel.,And likewise a cruel death.,,,
blank,,,,,,,
speaker,,NUNCIUS 767,Nuncius,A MESSENGER.,,,
line,767,Heyl dyugh ser a[r]luth tevdar,"Hayl dhywgh, syrr arloedh Tewdar!","Hail to you, Sir Lord Teudar !",,,
line,768,yma gena nowothov,"Yma gene' nowodhow,","768 With me are news,",,,
line,769,sav ny vethe sur heb mar,saw ny vedha' sur heb mar,But it would not be safe without doubt,,,
line,770,y covsel thyugh gans ganov,y gewsel dhywgh gans ganow,To say them to you with a mouth,,,
line,771,na vethe nes,na vedha' nes.,That should be nearer.,,,
line,772,del won inta,"Dell wonn yn ta,","772 As I know well,",,,
line,773,war ov ena,"war ow ena,","Upon my soul,",,,
line,774,ny veth ov les,ny vydh ow les.,It will not be my advantage.,,,
blank,,,,,,,
speaker,,TEVDARUS 775,Tevdarus,TEUDAR.,,,
line,775,Pyv an iovle us warfethys,P'yw an jowl eus hwarvedhys?,What the devil is it that has happened ?,,,
line,776,lauer thymmo ty lorden,"Lavar dhymmo, ty lorden.","776 Tell to me, thou lurdane.",,,
line,777,ay covs ty falge negethys,"Ay, kows, ty fals negedhys!","Ah, speak, thou false rascal !",,,
line,778,dar ny glov an plos iovden,Dar! ny glyw an plos jowdyn.,Ruin ! the dirty scoundrel will not hear.,,,
line,779,"covs vnw#t# ty bothorek {Nance, OC, iii, 426}","Kows unnweyth, ty vodharek!","Speak (at) once, thou beggar !",,,
line,780,covs myscheff yth vryonsen,Kows! meschyf y'th vryansenn!,780 Speak ! mischief in thy throat !,,,
line,781,ay covs ty map molothek,"Ay, kows, ty mab mollothek!","Ah, speak, thou son accursed !",,,
line,782,an iovl rebo the worfen,An jowl re bo dha worfenn!,May the devil be thy end !,,,
blank,,,,,,,
speaker,,NUNCIUS 783,Nuncius,THE MESSENGER.,,,
line,783,Yma oma in penw#t#,"Yma omma yn Pennwydh,","There is here in Penwith,",,,
line,784,nebes a weyst the carnebre,"nebes a west dhe Karn Bre,","784 Somewhat west of Carn Brea,",,,
line,785,vn pronter ov cuthel guyth,"unn pronter ow kuthyl gweyth,","A priest doing a work,",,,
line,786,sawya tus dal in bysme,"sawya tus dall y'n bys ma,","Healing blind folk in this world,",,,
line,787,bother ha mans,"bodhar ha mans,","Deaf and maimed,",,,
line,788,ha pup cleves ol in beys,ha pub kleves oll y'n bys.,788 And every disease in the world.,,,
line,789,a thu ny vyn boys covsis,"A Dhyw ny vynn bos kewsys,","Of [thy] god he will not that there be a thought,",,,
line,790,mas a crist a thuk mernans,ma's a Krist a dhug mernans.,But of Christ who died [bore death].,,,
line,791,pan o marov daserrys,"Pan o marow, dasserghys,","When he was dead, raised,",,,
line,792,y[n]methe bue the vevnans,"yn-medh ev, beu dhe vywnans.","792 He says that he was, to life.",,,
blank,,,,,,,
speaker,,TEVDARUS 793,Tevdarus,TEUDAR.,,,
line,793,Out govy rag galarov,"Out, go-vy, rag galarow!","Out, woe is me, for sorrows !",,,
line,794,py dol an iovle ythama,Py doll an jowl yth ama?,What devil's hole am I in ?,,,
line,795,out govy na vuff marov,"Out, go-vy, na veuv marow","Out, woe is me that I was not dead",,,
line,796,kyns doys a dor ov dama,kyns dos a dorr ow dama!,796 Before coming from my mother's womb !,,,
line,797,govi rag schame,Go-vy rag sham!,Woe is me ! for shame !,,,
line,798,sovdoryan duen alemma,"Soudoryon, deun alemma","Soldiers, let us come hence",,,
line,799,may hallen ganso rekna,may hallen ganso rekna.,That we may reckon with him.,,,
line,800,the develys name,The develys name!,800 The devil's name !,,,
blank,,,,,,,
speaker,,PRIMUS MILES 801,Primus miles,FIRST SOLDIER.,,,
line,801,Ov arluth genogh ny a,"Ow arloedh, genowgh ni a.","My lord, we will go with you.",,,
line,802,me re glowes an denna,"My re glywas a'n den na,","I have heard of this [that] man,",,,
line,803,nansyv mysyov tremenys 804,nans yw misyow tremenys.,Now there are months past.,,,
line,804,tus dal eff a ra sawya,"Tus dall ev a wra sawya,","804 Blind folk he doth heal,",,,
line,805,ha tus vother mageta,"ha tus vodhar magata,","And deaf folk as well,",,,
line,806,inweth gul dethe cloweys,ynwedh gul dhedha klywes.,Also he maketh them to hear.,,,
stage,,[finit,,,,,
speaker,,SECUNDUS MILES 807,Secundus miles,SECOND SOLDIER.,,,
line,807,Tevdar dyugh me a leuer,"Tewdar, dhywgh my a lever","Teudar, to you I say",,,
line,808,an keth denna grueys yv muer,an keth den na gwrys yw meur,"808 That same man is made great,",,,
line,809,purguir yn pov,pur wir y'n pow.,Right truly in the country.,,,
line,810,mar ny vethe chastijs,Mar ny vydh e chastyes,If he be not chastised,,,
blank,,,,,,,
line,811,a vahum ny veth sensys,a Vahum ny vydh synsys,Of Mahound there will not be thought,,,
line,812,moy es ky heb feladov,moy es ki heb falladow.,811 More than a hound without fail.,,,
blank,,,,,,,
speaker,,TEVDARUS,Tevdarus   ,TEUDAR [descends. ],,,
stage,,[descendit,<descendit,,,,
line,813,Duen ny in kerth,Deun ni yn kerdh,Let us come away,,,
line,814,gans mur a nerth,"gans meur a nerth,","With much of strength,",,,
line,815,ov marogyon,ow marghogyon.,My knights.,,,
line,816,py ma tregys,Pyma trygys?,816 Where is he dwelling ?,,,
line,817,thym leferys,Dhymm leverys,Said to me,,,
line,818,bethyns dyson,bedhens dison.,Let it be forthwith.,,,
blank,,,,,,,
speaker,,NUNCIUS 819,Nuncius,THE MESSENGER.,,,
line,819,Sur me an guel,"Sur my a'n gwel,","Surely I see him,",,,
line,820,arluth ryel,"arloedh ryal,","890 Lord royal,",,,
line,821,enos in plen,enos y'n plen.,There in the plain.,,,
line,822,mes an chapel,Mes a'n chapel,Out of the chapel,,,
line,823,pur thyogel,pur dhiogel,Bight certainly,,,
line,824,doys a ra len,dos a wra len.,814 He doth come loyally.,,,
blank,,,,,,,
speaker,,TEVDARUS 825,Tevdarus,TEUDAR.,,,
line,825,Ty bagcheler treyl war tuma,"Ty bacheler, trel war-tu ma!","Thou bachelor, turn on this side !",,,
line,826,the hanov thym lafara,Dha hanow dhymm lavar e,Thy name to me tell,,,
line,827,quik hath cregyans,"kwykk, ha'th kryjyans.","Quick, and thy belief",,,
line,828,gothfes henna,Godhvos henna,828 Know that,,,
line,829,sur a vanna,"sur a vynna',","Surely I would,",,,
line,830,hath devethyans,ha'th tevedhyans.,And thy race.,,,
blank,,,,,,,
speaker,,MERIADOCUS 831,Meriadocus,MERIASEK.,,,
line,831,Meryasek yv ov hanov,"Meryasek yw ow hanow,","Meriasek is my name,",,,
line,832,sevys a lyne conany,sevys a lin Konany.,832 Raised from Conan's line.,,,
line,833,in crist ihesu caradov,Yn Krist Yesu karadow,In Christ Jesu the loveable,,,
line,834,ytheseff prest ov cresy,yth esov prest ow krysi.,Am I ever believing.,,,
line,835,y vos lel du,Y vos lel Dyw,That he is true God,,,
line,836,genys ay vam maria,"genys a'y vamm Maria,","836 Born of his Mother Mary,",,,
line,837,ha hy magh#t# aywosa,ha hi maghteth a'y wosa;,And she a maiden notwithstanding ;,,,
line,838,helma ov cregyans ythyv,hemma ow kryjyans yth yw.,This is my belief.,,,
blank,,,,,,,
speaker,,TEVDARUS 839,Tevdarus,TEUDAR.,,,
line,839,Sevys oys a woys worthy,Sevys os a woes wordhi.,Raised art thou of worthy blood.,,,
line,840,meryasek beth avysyys,"Meryasek, bydh avisyes,","840 Meriasek, be advised,",,,
line,841,rag dovt cafus velyny,rag dout kavoes vileni,"For fear of getting disgrace,",,,
blank,,,,,,,
line,842,na govs tra na fue guelys,"na gows tra na veu gwelys,","Speak not aught that has not been seen,",,,
line,843,me a leuer,my a lever.,I say.,,,
line,844,erbyn reson yv in beys,"Erbynn reson yw y'n bys,","844 Against reason it is in the world,",,,
line,845,heb hays gorryth thymo creys,"heb has gorreyth, dhymmo krys,","Without a man's seed, believe me,",,,
line,846,bones flogh vyth concevijs,bones flogh vydh konsevyes,That a child should ever be conceived,,,
line,847,in breys benen heb awer,"yn brys benyn, heb ahwer.","In a woman's womb, without grief.",,,
blank,,,,,,,
speaker,,MERIADOCUS 848,Meriadocus,MERIASEK.,,,
line,848,Nynsesos ov attendya,Nyns esos owth attendya,848 Thou art not considering [understanding],,,
line,849,an laha del vya reys,"an lagha dell via res,","The law as need should be,",,,
line,850,omma an genegygva,omma a'n enesigva,Of the birth here,,,
line,851,a ihesu crist war an beys,"a Yesu Krist war an bys,","Of Jesus Christ on the world,",,,
line,852,hay pascyon ker,ha'y Basshyon ker.,853 And his dear Passion.,,,
line,853,avel hovle der weder a,Avel howl der weder a,As (the) sun goes through glass,,,
line,854,heb y terry del wylsta,"heb y derri dell wels'ta,","Without brewing it as thou seest, [hast seen]",,,
line,855,indella crist awartha,yndella Krist a-wartha,So Christ above,,,
line,856,a thuth in breys maria,a dheuth yn brys Maria,856 Went into Mary's womb [came],,,
line,857,heb mostye iunt v#t# in suyr,heb mostya junt vydh yn sur.,Without defiling any joint surely.,,,
line,858,der an sperys sans kerra,Der an Spyrys Sans kerra,"Through the Holy, dearest Spirit",,,
line,859,concevijs y fue the guir,konsevyes y feu dhe wir.,"He was conceived, of a truth.",,,
blank,,,,,,,
speaker,,TEVDARUS 860,Tevdarus,TEUDAR.,,,
line,860,Na wyle gene flatra,Na hwila gene' flattra.,860 Seek not to talk with me.,,,
line,861,kynfes nefre ov clattra,Kyn fes nevra ow klattra,Though thou wert for ever clattering,,,
line,862,the ihesu ythese tays,dhe Yesu yth esa tas,To Jesus there was a father,,,
line,863,mage lel avel y vam,maga lel avel y vamm.,Just as well as his mother.,,,
line,864,nynsus ger guir malbe dam,Nyns eus ger gwir malbew damm,"864 There is not a true word, malbe dam,",,,
line,865,wath in ol the daryvays,hwath yn oll dha dherivas.,Yet in all thy declaration.,,,
blank,,,,,,,
speaker,,MERIADOCUS 866,Meriadocus,MERIASEK.,,,
line,866,Du avan prest o y days,Dyw a-vann prest o y das.,God above was his father.,,,
line,867,a cothfes y attendya,A kodhves y attendya!,Thou oughtest to consider it. [if thou couldst understand it],,,
line,868,rag prenna adam hay hays,Rag prena Adam ha'y has,868 To redeem Adam and his seed,,,
line,869,doys y fynnas then bysma,dos y fynnas dhe'n bys ma.,He would come to this world.,,,
line,870,mernans tyn eff a porthas,Mernans tynn ev a borthas:,Sharp death he bore :,,,
line,871,eneff map den gruk sawya,enev mab-den gwrug sawya,Man's soul he saved,,,
line,872,ese in colmen satnas,esa yn kolmenn Satnas.,872 Which was in Satan's bond.,,,
line,873,eff as dros the lowena,Ev a's dros dhe lowena.,He brought it to joy.,,,
blank,,,,,,,
speaker,,TEVDARUS 874,Tevdarus,TEUDAR.,,,
line,874,Marso du avan y days,Mars o Dyw a-vann y das,If God above was his father,,,
line,875,me a leuer meryasek,"my a lever, Meryasek,","I say, Meriasek,",,,
line,876,eff a alse der y rays,ev a allsa der y ras,876 He could through his grace,,,
line,877,selwel rych ha bohosek,"selwel rych ha boghosek,","Have saved rich and poor,",,,
line,878,heb boys marov,heb bos marow.,Without being dead.,,,
line,879,ath daryvas schame ythyv,A'th terivas sham yth yw!,Of thy assertion shame is !,,,
line,880,pan othem o the vap du,Pan edhomm o dhe Vab Dyw,880 What need was there for God's son,,,
line,881,boys lethys avel carov,bos ledhys avel karow?,To be slain like a hart ?,,,
blank,,,,,,,
speaker,,MERIADOCUS 882,Meriadocus,MERIASEK.,,,
line,882,Der pegh adam agen tays,Der begh Adam agan tas,Through the sin of Adam our father,,,
line,883,eff hay lynnyeth o dampnys,"ev ha'y linyeth o dampnys,","He and his lineage were damned,",,,
line,884,sav an devgys a vynnays,saw an Dywses a vynnas,884 But the Godhead wished,,,
line,885,arta y vones prennys,arta y vones prenys,Again that he should be redeemed,,,
line,886,the saluascon,dhe salvashyon.,To salvation.,,,
line,887,an map a fue concevijs,An Mab a veu konsevyes,The Son was conceived,,,
line,888,ha densis a kemereys,"ha denses a gemmeras,","888 And took manhood,",,,
line,889,rag na ylly an devsys,rag na ylli an Dywses,For that the Godhead could not,,,
line,890,gothe pasconn,godha' passhyon.,Suffer passion.,,,
blank,,,,,,,
speaker,,TEVDARUS 891,Tevdarus,TEUDAR.,,,
line,891,Ny thue les agen argya,"Ny dheu les a'gan argya,","Profit will not come of our arguing,",,,
line,892,kyn feny oma vyketh,kyn fen ni omma vythkweyth.,892 Though we be here for ever.,,,
line,893,meryasek crist denaha,"Meryasek, Krist denagh e","Meriasek, deny Christ",,,
line,894,ha the cothmen me a veth,ha dha gothman my a vydh,And I will be thy friend,,,
line,895,may fo guelys,may fo gwelys.,So that it may be seen.,,,
line,896,epscop worthy me ath ra,"Epskop wordhi my a'th hwra,","896 A worthy bishop I will make thee,",,,
line,897,chyff revler {Padel} oll an povma,chyf rewler* oll a'n pow ma.,Chief of the whole breadth of this country.,,,
blank,,,,,,,
line,898,na moy me ny deserya,Namoy my ny dhesirya',I desire nothing more,,,
line,899,mas gorthya mahum pup preys,ma's gordhya Mahum pup-prys.,But to worship Mahound always.,,,
blank,,,,,,,
speaker,,MERIADOCUS 900,Meriadocus,MERIASEK.,,,
line,900,Ima guel forth es honna,Yma gwell fordh es honna:,900 There is a better way than that :,,,
line,901,grua thegy crist ker gorthya,"gwra dhejy Krist ker gordhya,","Do thou worship dear Christ,",,,
line,902,ken maner kyllys os suir,ken maner kellys os sur.,Otherwise thou art lost surely.,,,
